age,region,education_level,education_field,occupation_category,starting_income,income_growth_rate,current_savings,savings_rate,debt_level,property_price,price_per_sqm,property_type,property_region,years_to_readiness
27,HE,apprenticeship,OfficeAdmin,OfficeAdmin,32945,0.029,9627,0.125,35584,842219,10661,Apartment,NW,40
29,NW,master,psychology,SocialCare,44000,0.021,17979,0.057,31753,955395,9099,Penthouse,BE,40
29,NW,master,data_science,STEM,64503,0.074,62610,0.182,32730,589472,11336,Apartment,HE,4
22,BE,master,business,Finance,64646,0.044,54640,0.158,33980,505008,8016,Apartment,HH,5
26,BW,master,business,Finance,61000,0.045,56655,0.2,41452,314691,8069,Penthouse,HH,1
28,HE,apprenticeship,Logistics,Logistics,31515,0.038,36741,0.096,19918,1086930,9290,Loft,NW,40
30,HE,bachelor,engineering,STEM,56544,0.066,72587,0.126,15475,381276,10591,Penthouse,BE,1
29,BY,none,none,TechSelfTaught,40382,0.046,37116,0.147,16513,791896,10024,Loft,NW,20
22,BW,none,none,Service,30885,0.021,44165,0.052,183,204608,6394,Maisonette,HH,0
29,BE,bachelor,engineering,STEM,52640,0.072,2289,0.206,46012,536152,4622,Apartment,HE,8
25,BW,master,economics,Finance,61515,0.067,15573,0.247,14750,243342,7374,Apartment,BY,2
29,BE,none,none,Service,30654,0.03,13277,0.101,3794,882446,10261,Apartment,BE,40
20,HE,master,business,Finance,63170,0.052,47898,0.16,17395,381276,10591,Penthouse,BE,3
25,NW,bachelor,economics,Finance,45380,0.069,47574,0.21,15141,314691,8069,Penthouse,HH,2
27,HE,master,education,Education,45972,0.024,26925,0.115,23182,234346,6167,Loft,BY,4
18,BY,none,none,Service,28700,0.03,19595,0.109,3636,401388,4316,Apartment,BY,19
19,BE,master,arts_humanities,Arts,40325,0.011,24701,0.064,48325,229026,5586,Penthouse,BY,8
30,NW,master,education,Education,46618,0.027,42835,0.062,14040,270135,3915,Apartment,HH,4
21,NW,none,none,TechSelfTaught,44794,0.055,50079,0.133,6299,448857,8469,Loft,HH,6
24,HE,none,none,SkilledTrade,36383,0.032,15728,0.116,44167,766476,7097,Penthouse,BY,31
27,NW,none,none,Service,23676,0.02,2667,0.105,6231,437360,5467,Loft,BY,40
20,HH,bachelor,education,Education,44874,0.029,40782,0.12,15525,631476,11694,Maisonette,HH,20
21,HH,bachelor,mathematics,STEM,50550,0.077,38610,0.146,2495,481797,7191,Apartment,HE,6
27,HH,apprenticeship,OfficeAdmin,OfficeAdmin,30430,0.038,41101,0.086,10789,136692,3797,Maisonette,NW,0
20,HE,bachelor,healthcare,Healthcare,40563,0.026,15468,0.122,16384,497490,10815,Maisonette,HE,17
21,HE,apprenticeship,Retail,Retail,31272,0.033,19015,0.141,44452,497490,10815,Maisonette,HE,22
20,BE,none,none,Sales,35017,0.04,11480,0.101,9994,333216,2848,Loft,HE,12
28,BE,bachelor,psychology,SocialCare,35432,0.021,66770,0.062,32447,207675,8307,Apartment,NW,0
26,BW,none,none,SkilledTrade,36063,0.037,63687,0.086,35297,587523,7437,Apartment,BW,20
27,HE,none,none,Service,31075,0.013,51720,0.036,18658,409675,11705,Maisonette,NW,39
18,HH,master,arts_humanities,Arts,40252,0.021,3595,0.031,6520,264252,4636,Penthouse,HH,29
26,BY,apprenticeship,Logistics,Logistics,28263,0.039,46736,0.092,47403,842219,10661,Apartment,NW,35
19,BW,apprenticeship,Mechatronics,Mechatronics,41264,0.032,4215,0.146,45281,587523,7437,Apartment,BW,19
30,HH,none,none,Service,27713,0.013,39556,0.094,47967,811426,10538,Apartment,BY,40
27,BE,bachelor,education,Education,42864,0.03,27426,0.061,14083,636500,6700,Penthouse,NW,26
25,BY,apprenticeship,Retail,Retail,22986,0.02,41601,0.054,28131,1040052,9204,Loft,NW,40
29,BE,none,none,Service,24831,0.019,68379,0.049,7064,168704,2636,Maisonette,BY,0
24,HH,none,none,Service,24749,0.015,37034,0.059,49996,1024569,8757,Apartment,BY,40
29,BW,master,arts_humanities,Arts,43475,0.024,2637,0.043,2352,207675,8307,Apartment,NW,17
26,BE,master,social_sciences,SocialCare,35110,0.02,34255,0.089,20101,332754,5367,Penthouse,BW,10
19,HE,bachelor,data_science,STEM,58726,0.062,6409,0.11,33459,938013,8301,Penthouse,HH,17
21,NW,none,none,Service,32871,0.016,41312,0.062,29133,645696,5472,Apartment,HH,40
30,BE,apprenticeship,SkilledTrade,SkilledTrade,33586,0.032,35692,0.099,19220,180576,2508,Penthouse,BE,1
23,BY,bachelor,education,Education,36737,0.026,28104,0.086,22512,640528,6536,Maisonette,NW,31
19,HE,bachelor,engineering,STEM,58044,0.054,39581,0.12,21696,332754,5367,Penthouse,BW,4
26,BE,master,psychology,SocialCare,41542,0.029,16582,0.065,2350,732360,8616,Penthouse,HE,30
21,HH,apprenticeship,SkilledTrade,SkilledTrade,34571,0.015,3581,0.135,4563,357595,4207,Maisonette,BY,18
24,NW,bachelor,psychology,SocialCare,39330,0.03,4322,0.066,36019,107900,4316,Maisonette,BY,6
18,BE,bachelor,business,Finance,51118,0.059,5477,0.138,20787,991186,11942,Maisonette,BY,17
30,BY,master,healthcare,Healthcare,50705,0.035,61318,0.075,6412,1086930,9290,Loft,NW,29
18,BY,bachelor,education,Education,35353,0.026,37266,0.082,21121,579940,5420,Loft,BY,28
29,BW,none,none,TechSelfTaught,47479,0.061,34111,0.139,376,481797,7191,Apartment,HE,8
21,BW,apprenticeship,OfficeAdmin,OfficeAdmin,37821,0.029,51957,0.091,9873,155204,3374,Maisonette,NW,0
26,BY,bachelor,engineering,STEM,61997,0.068,3734,0.186,37088,963771,9357,Loft,BW,11
27,HH,apprenticeship,OfficeAdmin,OfficeAdmin,33992,0.036,41699,0.143,41133,234346,6167,Loft,BY,2
21,BE,none,none,SkilledTrade,41675,0.023,22185,0.069,37607,509291,4507,Penthouse,BW,22
23,BW,apprenticeship,Logistics,Logistics,32113,0.034,6533,0.091,6790,1007480,11320,Loft,HE,40
29,HE,bachelor,social_sciences,SocialCare,32195,0.027,3388,0.062,25443,497490,10815,Maisonette,HE,31
22,BW,bachelor,social_sciences,SocialCare,40497,0.026,13570,0.09,43193,221116,4172,Apartment,HH,8
22,NW,none,none,Sales,48830,0.032,22925,0.158,20115,420168,7503,Maisonette,HE,7
27,BE,none,none,TechSelfTaught,54396,0.048,2330,0.168,41149,255654,4058,Loft,BW,5
20,HE,bachelor,business,Finance,51553,0.04,21478,0.131,30330,610736,5453,Penthouse,BW,12
20,BY,bachelor,business,Finance,47774,0.043,29628,0.125,5120,338523,5939,Apartment,BW,6
26,BY,master,data_science,STEM,72000,0.053,62560,0.231,34010,422170,5705,Penthouse,NW,2
25,HE,bachelor,engineering,STEM,49633,0.052,13089,0.158,47346,317044,6097,Apartment,HE,6
24,HH,apprenticeship,Logistics,Logistics,35406,0.023,46500,0.052,6711,483408,6714,Apartment,BW,24
18,BE,bachelor,healthcare,Healthcare,37045,0.023,41163,0.066,19837,251559,3267,Maisonette,NW,4
24,NW,master,arts_humanities,Arts,35484,0.021,53133,0.08,46419,865980,10188,Loft,HH,40
25,HH,none,none,SkilledTrade,39387,0.024,44718,0.11,16329,657758,10609,Penthouse,BE,32
22,BW,master,arts_humanities,Arts,40136,0.013,33098,0.046,46777,221256,6146,Maisonette,HE,6
21,BE,bachelor,mathematics,STEM,53366,0.058,48927,0.155,17777,595930,5182,Apartment,NW,7
20,HH,master,social_sciences,SocialCare,36831,0.021,42908,0.052,16951,143088,2981,Loft,BY,0
26,HH,apprenticeship,SkilledTrade,SkilledTrade,40484,0.012,59570,0.058,46759,637767,9243,Apartment,BY,40
26,HH,none,none,Sales,35960,0.045,15826,0.091,4388,409675,11705,Maisonette,NW,15
30,HE,none,none,TechSelfTaught,41283,0.04,45768,0.12,5677,517914,7506,Loft,HE,12
25,NW,apprenticeship,Logistics,Logistics,34406,0.011,20528,0.08,13240,741376,11584,Penthouse,NW,40
19,NW,none,none,Service,32607,0.014,42453,0.079,16660,228270,7609,Penthouse,BW,2
22,BY,bachelor,psychology,SocialCare,32596,0.024,48251,0.052,40990,574680,4789,Apartment,HE,34
20,NW,bachelor,engineering,STEM,54801,0.059,11764,0.194,10480,412844,7118,Loft,BY,6
20,NW,master,psychology,SocialCare,41488,0.026,42894,0.064,32966,596700,9945,Penthouse,BY,23
30,BE,bachelor,social_sciences,SocialCare,32079,0.029,4708,0.088,28469,228270,7609,Penthouse,BW,12
29,BW,master,data_science,STEM,62366,0.062,18096,0.226,12125,636500,6700,Penthouse,NW,7
24,BW,apprenticeship,SkilledTrade,SkilledTrade,34996,0.019,17596,0.132,23597,550229,11707,Penthouse,BY,36
24,NW,apprenticeship,Logistics,Logistics,30214,0.011,6120,0.139,31971,241735,3719,Apartment,BY,10
30,HE,bachelor,mathematics,STEM,58296,0.072,20158,0.148,231,363510,4039,Apartment,BW,5
22,HH,bachelor,computer_science,STEM,56770,0.052,32031,0.157,38387,227556,6321,Penthouse,BY,2
28,HH,master,computer_science,STEM,74282,0.077,22668,0.199,49037,420168,7503,Maisonette,HE,4
20,BY,none,none,TechSelfTaught,41876,0.065,29283,0.183,23382,409675,11705,Maisonette,NW,6
28,HE,bachelor,mathematics,STEM,59965,0.061,28294,0.178,29962,636500,6700,Penthouse,NW,8
25,BE,bachelor,economics,Finance,42671,0.064,28590,0.131,40234,578799,11349,Penthouse,BW,11
23,HH,master,healthcare,Healthcare,45775,0.029,4411,0.1,28761,955395,9099,Penthouse,BE,34
25,HH,master,computer_science,STEM,72894,0.071,34474,0.175,14962,352704,11022,Apartment,BW,3
27,HH,master,mathematics,STEM,72279,0.069,52911,0.215,24688,318528,9954,Apartment,BE,1
18,BW,bachelor,business,Finance,43861,0.048,21417,0.214,36109,574368,11966,Maisonette,NW,11
29,BY,apprenticeship,OfficeAdmin,OfficeAdmin,37678,0.024,28813,0.109,36610,1214868,10473,Loft,HE,40
20,BE,master,engineering,STEM,70496,0.067,15861,0.105,19438,550229,11707,Penthouse,BY,10
26,HH,master,education,Education,50729,0.027,63138,0.118,31398,409675,11705,Maisonette,NW,3
19,HE,none,none,TechSelfTaught,51032,0.058,38935,0.191,42500,208737,7731,Apartment,BE,1
20,HH,master,psychology,SocialCare,43706,0.03,3527,0.082,23034,888118,11242,Loft,NW,32
18,HE,bachelor,psychology,SocialCare,43714,0.03,22342,0.065,29198,463148,3892,Apartment,HE,19
20,BW,apprenticeship,Logistics,Logistics,31534,0.023,26821,0.117,25373,536152,4622,Apartment,HE,34
19,BY,none,none,SkilledTrade,35236,0.031,33210,0.105,43022,151713,5619,Apartment,NW,0
22,BE,apprenticeship,OfficeAdmin,OfficeAdmin,38106,0.035,51500,0.109,23396,243600,6960,Loft,NW,0
21,HE,apprenticeship,OfficeAdmin,OfficeAdmin,39356,0.039,14793,0.122,18530,775010,8158,Apartment,BW,24
30,HH,apprenticeship,OfficeAdmin,OfficeAdmin,36143,0.011,74048,0.068,21090,991186,11942,Maisonette,BY,40
21,HH,none,none,TechSelfTaught,51167,0.056,6344,0.084,22134,587523,7437,Apartment,BW,16
24,NW,apprenticeship,SkilledTrade,SkilledTrade,39079,0.036,5021,0.08,20463,265668,5109,Maisonette,HE,13
21,BY,none,none,TechSelfTaught,48978,0.062,41972,0.137,22998,761588,8102,Apartment,BE,12
18,NW,apprenticeship,Retail,Retail,27111,0.016,2002,0.075,12316,343944,10116,Maisonette,HE,30
19,BW,none,none,Service,31797,0.028,41011,0.031,38255,363510,4039,Apartment,BW,23
22,HE,none,none,Service,28974,0.029,44293,0.084,37608,708064,6104,Apartment,HE,40
18,BY,bachelor,psychology,SocialCare,43817,0.022,39730,0.065,36836,598000,9200,Apartment,NW,25
20,HE,bachelor,social_sciences,SocialCare,30736,0.028,2642,0.067,49327,151527,2859,Loft,BW,12
26,BW,none,none,Sales,46822,0.058,643,0.109,49699,372555,7305,Maisonette,HH,11
25,NW,master,engineering,STEM,63552,0.07,46120,0.12,10133,244992,3828,Penthouse,BE,1
19,BW,bachelor,computer_science,STEM,56725,0.065,5100,0.201,4617,229158,3951,Loft,BW,4
27,HE,master,social_sciences,SocialCare,34054,0.03,19880,0.072,1440,842219,10661,Apartment,NW,39
23,HE,apprenticeship,SkilledTrade,SkilledTrade,36905,0.021,28328,0.095,11372,732360,8616,Penthouse,HE,40
25,BW,bachelor,healthcare,Healthcare,38698,0.022,56654,0.062,2898,288569,4891,Penthouse,BY,1
28,HE,apprenticeship,SkilledTrade,SkilledTrade,37731,0.03,58510,0.13,24882,691092,8748,Penthouse,HE,29
26,HE,none,none,SkilledTrade,44538,0.034,38326,0.074,40582,550229,11707,Penthouse,BY,17
26,HE,master,data_science,STEM,66574,0.065,18098,0.192,28923,825945,10455,Apartment,BY,9
20,NW,master,mathematics,STEM,63496,0.05,24842,0.115,1705,437360,5467,Loft,BY,8
27,BE,none,none,Service,23473,0.012,59394,0.113,41552,741376,11584,Penthouse,NW,40
22,BY,master,economics,Finance,50455,0.065,54598,0.155,11693,854572,8062,Penthouse,NW,12
25,NW,bachelor,data_science,STEM,66682,0.069,60904,0.207,29841,1069965,11505,Apartment,BW,11
25,NW,none,none,TechSelfTaught,52231,0.041,53657,0.193,36159,384748,7399,Maisonette,BW,3
30,BE,apprenticeship,Logistics,Logistics,33354,0.038,13606,0.092,9007,1007480,11320,Loft,HE,36
18,NW,apprenticeship,OfficeAdmin,OfficeAdmin,39205,0.036,30205,0.135,19141,536152,4622,Apartment,HE,16
19,HH,none,none,Service,25889,0.015,3624,0.058,48274,963771,9357,Loft,BW,40
23,NW,bachelor,social_sciences,SocialCare,37851,0.025,12116,0.09,39669,288569,4891,Penthouse,BY,12
27,BY,bachelor,mathematics,STEM,52370,0.06,717,0.135,2201,952160,8656,Maisonette,BW,16
18,HE,master,social_sciences,SocialCare,46591,0.021,24262,0.073,46390,574368,11966,Maisonette,NW,22
28,NW,master,engineering,STEM,56492,0.074,69638,0.201,21426,505967,6571,Maisonette,HE,3
26,BW,master,engineering,STEM,73413,0.056,35463,0.215,1444,708064,6104,Apartment,HE,6
30,BW,apprenticeship,Logistics,Logistics,35613,0.031,31933,0.074,21737,334656,5229,Maisonette,BE,12
19,HH,none,none,Service,25130,0.014,9420,0.079,2002,574680,4789,Apartment,HE,40
28,NW,none,none,TechSelfTaught,39959,0.044,43851,0.151,29754,417632,6736,Loft,BE,7
19,BE,apprenticeship,Logistics,Logistics,29828,0.012,20074,0.09,22588,1144304,9616,Loft,HH,40
20,BE,bachelor,data_science,STEM,60885,0.053,14459,0.169,4021,718479,7407,Penthouse,NW,10
26,BW,bachelor,business,Finance,53715,0.044,51997,0.169,28822,338240,5285,Apartment,HH,2
30,BY,none,none,SkilledTrade,43122,0.023,66864,0.141,26840,704880,6408,Loft,NW,32
18,HE,master,data_science,STEM,81306,0.052,22263,0.173,6123,788082,8474,Maisonette,HE,8
23,BY,master,business,Finance,59864,0.046,27546,0.221,20096,151713,5619,Apartment,NW,1
29,BW,bachelor,arts_humanities,Arts,29195,0.023,28092,0.063,1425,952160,8656,Maisonette,BW,40
21,HE,bachelor,data_science,STEM,63986,0.063,45815,0.214,29847,318528,9954,Apartment,BE,2
26,HE,none,none,TechSelfTaught,37930,0.052,10678,0.12,33522,228270,7609,Penthouse,BW,7
27,BY,none,none,SkilledTrade,39856,0.022,32552,0.104,43686,664480,8306,Maisonette,NW,34
29,NW,apprenticeship,OfficeAdmin,OfficeAdmin,32523,0.036,12524,0.056,9994,230180,2708,Maisonette,BY,14
27,BE,none,none,SkilledTrade,41539,0.036,54433,0.072,22138,732360,8616,Penthouse,HE,23
26,BE,bachelor,economics,Finance,43847,0.06,30177,0.17,24582,1007480,11320,Loft,HE,19
22,HH,master,mathematics,STEM,68493,0.057,39152,0.14,435,517914,7506,Loft,HE,6
20,BW,master,computer_science,STEM,64556,0.077,7618,0.126,9182,381276,10591,Penthouse,BE,7
28,NW,bachelor,mathematics,STEM,52630,0.069,45439,0.163,38040,952160,8656,Maisonette,BW,13
23,NW,none,none,TechSelfTaught,43577,0.06,1829,0.181,205,422170,5705,Penthouse,NW,8
24,HH,apprenticeship,OfficeAdmin,OfficeAdmin,36492,0.02,5896,0.078,17803,127264,3977,Maisonette,NW,7
21,NW,none,none,Sales,42096,0.053,42765,0.16,15121,1269216,11232,Apartment,HE,26
27,BY,apprenticeship,Logistics,Logistics,30099,0.029,50371,0.087,10150,265668,5109,Maisonette,HE,4
25,HE,bachelor,arts_humanities,Arts,36590,0.025,62041,0.079,21226,243342,7374,Apartment,BY,0
27,NW,bachelor,business,Finance,49048,0.054,66062,0.234,20308,574680,4789,Apartment,HE,8
27,HE,none,none,SkilledTrade,38220,0.021,52365,0.15,19686,764286,6477,Loft,BY,40
21,BY,apprenticeship,Mechatronics,Mechatronics,44040,0.017,26848,0.091,21259,885278,10666,Maisonette,BE,40
26,HH,apprenticeship,SkilledTrade,SkilledTrade,42927,0.031,42706,0.136,20164,730917,10593,Loft,NW,25
22,BE,bachelor,social_sciences,SocialCare,36173,0.027,22209,0.086,4526,384426,4746,Maisonette,BY,15
18,BY,master,arts_humanities,Arts,33937,0.022,13074,0.036,9520,517914,7506,Loft,HE,40
27,HH,master,economics,Finance,53445,0.047,18044,0.143,36124,578799,11349,Penthouse,BW,10
26,BW,bachelor,social_sciences,SocialCare,38711,0.021,26652,0.053,10121,638280,5910,Apartment,HE,35
20,HE,none,none,SkilledTrade,41963,0.037,19727,0.141,47293,1024569,8757,Apartment,BY,31
25,HH,master,data_science,STEM,73676,0.05,12404,0.155,34521,1250596,10781,Maisonette,BE,16
21,HH,apprenticeship,SkilledTrade,SkilledTrade,31167,0.031,937,0.12,44641,167376,5072,Maisonette,BW,8
